fecha,allsky_sfc_sw_dwn,clrsky_sfc_sw_dwn,t2m
2000-06-01,4.056,7.0922,25.22
2000-06-02,4.0735,7.1256,26.25
2000-06-03,4.8005,6.9785,27.27
2000-06-04,3.3007,7.1575,25.47
2000-06-05,4.9318,6.9662,25.61
2000-06-06,4.7477,7.133,25.56
2000-06-07,4.1971,6.9814,24.66
2000-06-08,4.2226,6.9974,25.72
2000-06-09,4.7909,6.8822,25.24
2000-06-10,4.5187,6.9523,24.97
2000-06-11,4.5634,6.8966,25.53
2000-06-12,3.7152,7.1064,25.87
2000-06-13,4.7652,6.9074,25.91
2000-06-14,4.5948,6.989,26.14
2000-06-15,4.4494,6.7056,26.1
2000-06-16,4.5262,6.8746,25.89
2000-06-17,3.6626,7.121,24.09
2000-06-18,4.1282,6.8378,25.35
2000-06-19,4.2874,6.9667,26.05
2000-06-20,4.3426,6.8801,27.35
2000-06-21,4.1508,7.015,25.55
2000-06-22,4.5156,6.96,24.92
2000-06-23,3.4094,7.0925,24.02
2000-06-24,4.7071,6.9919,25.58
2000-06-25,4.8098,6.9288,25.43
2000-06-26,4.1616,6.8561,26.15
2000-06-27,4.1558,6.5662,26.12
2000-06-28,4.399,6.7872,27.03
2000-06-29,4.3193,6.8018,26.88
2000-06-30,3.7915,7.015,26.91
2000-07-01,5.0935,6.9708,25.72
2000-07-02,3.6602,7.1095,26.31
2000-07-03,5.2426,7.032,26.74
2000-07-04,4.4618,7.0392,25.1
2000-07-05,4.8569,7.1302,25.04
2000-07-06,3.8018,7.092,24.16
2000-07-07,4.1892,7.0207,23.78
2000-07-08,4.709,6.6866,25.12
2000-07-09,3.883,7.1126,26.7
2000-07-10,4.7441,6.8911,26.5
2000-07-11,4.2869,7.0507,26.59
2000-07-12,4.4477,6.9804,26.23
2000-07-13,3.3994,7.1258,26.45
2000-07-14,3.7702,7.0176,26.39
2000-07-15,4.5226,6.9626,25.22
2000-07-16,4.5727,7.0478,26.06
2000-07-17,4.2283,7.0109,26.21
2000-07-18,5.2862,7.0358,25.76
2000-07-19,5.016,7.0435,25.25
2000-07-20,5.0983,6.9778,25.05
2000-07-21,4.4122,7.2804,24.76
2000-07-22,5.413,7.043,25.01
2000-07-23,4.5761,6.7459,27.15
2000-07-24,4.3596,7.0704,25.93
2000-07-25,4.7186,7.1681,25.62
2000-07-26,4.6702,6.9888,24.69
2000-07-27,4.7798,7.0154,24.88
2000-07-28,3.8693,7.2226,23.72
2000-07-29,4.1719,7.0445,23.71
2000-07-30,4.5374,6.8659,23.74
2000-07-31,5.1893,6.965,24.25
2000-08-01,4.277,7.2773,25.62
2000-08-02,4.9313,7.097,24.66
2000-08-03,5.0206,7.1441,24.52
2000-08-04,4.6099,7.236,24.28
2000-08-05,4.0042,7.2806,23.73
2000-08-06,4.849,7.0675,24.47
2000-08-07,5.0806,7.0262,25.31
2000-08-08,4.5173,7.2454,24.0
2000-08-09,2.8447,7.2379,25.09
2000-08-10,5.0074,7.1388,24.75
2000-08-11,5.1283,7.085,25.73
2000-08-12,4.4532,7.2211,25.2
2000-08-13,4.711,7.1926,25.09
2000-08-14,4.4652,6.9034,24.48
2000-08-15,5.0189,7.1544,25.57
2000-08-16,4.7971,7.0843,25.61
2000-08-17,5.305,7.0709,25.84
2000-08-18,3.409,7.2775,25.29
2000-08-19,5.4077,7.0666,25.53
2000-08-20,4.5358,7.0282,25.74
2000-08-21,4.788,7.127,26.2
2000-08-22,4.152,6.6005,26.91
2000-08-23,4.9109,7.176,25.35
2000-08-24,3.7214,7.1213,25.03
2000-08-25,4.4933,7.2617,24.76
2000-08-26,4.3678,7.164,24.77
2000-08-27,4.9114,6.9391,25.63
2000-08-28,3.515,7.3392,25.3
2000-08-29,4.4599,7.3306,24.21
2000-08-30,5.2543,7.1765,25.35
2000-08-31,3.4925,7.0786,24.78
2000-09-01,4.2631,7.2415,24.69
2000-09-02,4.4537,7.0291,24.23
2000-09-03,4.337,7.11,24.42
2000-09-04,3.1414,7.2122,23.7
2000-09-05,4.3591,7.3042,24.39
2000-09-06,4.9236,7.1148,24.54
2000-09-07,4.6764,6.995,25.11
2000-09-08,5.2111,7.0824,24.67
2000-09-09,4.9142,7.2401,24.53
2000-09-10,4.6308,7.181,24.63
2000-09-11,3.8986,6.7757,23.98
2000-09-12,5.8058,7.1873,24.97
2000-09-13,4.5617,7.1436,25.7
2000-09-14,4.4191,7.3051,24.97
2000-09-15,4.8569,7.0039,23.76
2000-09-16,5.2123,7.0946,23.97
2000-09-17,4.3798,7.2528,24.97
2000-09-18,5.1235,7.0147,24.93
2000-09-19,4.1801,7.1021,24.18
2000-09-20,2.7751,7.3162,23.95
2000-09-21,5.0422,7.123,24.85
2000-09-22,4.543,7.1047,25.48
2000-09-23,4.2487,7.1599,25.13
2000-09-24,4.3008,7.3013,24.03
2000-09-25,5.3717,7.2444,24.16
2000-09-26,4.4162,7.1873,24.46
2000-09-27,1.7964,7.2869,23.9
2000-09-28,4.8355,7.1395,23.92
2000-09-29,2.9546,7.2744,23.32
2000-09-30,5.0153,7.1359,24.19
2000-10-01,5.2234,6.9706,23.99
2000-10-02,4.0366,7.285,24.59
2000-10-03,5.807,7.1374,24.39
2000-10-04,4.439,7.0901,24.06
2000-10-05,5.1022,7.1081,24.38
2000-10-06,4.3478,6.9038,25.69
2000-10-07,3.7937,7.0128,25.36
2000-10-08,3.5522,7.1522,25.17
2000-10-09,4.2955,6.7291,24.55
2000-10-10,4.3874,6.887,24.55
2000-10-11,4.3226,6.4896,25.06
2000-10-12,4.3798,6.7999,23.77
2000-10-13,4.379,6.9821,24.38
2000-10-14,5.2548,6.9322,24.33
2000-10-15,3.2393,7.1069,24.28
2000-10-16,5.0398,6.9982,24.68
2000-10-17,4.0373,6.6722,25.7
2000-10-18,4.0454,6.9386,25.12
2000-10-19,4.2482,6.6091,24.39
2000-10-20,4.8355,6.8731,24.12
2000-10-21,2.8625,6.9283,24.15
2000-10-22,4.5072,6.8887,25.16
2000-10-23,3.9941,6.5633,24.63
2000-10-24,2.173,7.0044,24.51
2000-10-25,4.4755,6.9098,25.32
2000-10-26,5.027,6.6156,24.54
2000-10-27,3.8707,6.9871,24.9
2000-10-28,3.7723,6.6247,25.49
2000-10-29,3.9178,6.7493,25.28
2000-10-30,4.7114,6.7315,24.05
2000-10-31,4.9874,6.7495,24.09
2000-11-01,4.2086,6.5738,24.26
2000-11-02,2.7847,6.7591,23.92
2000-11-03,4.8487,6.5786,24.68
2000-11-04,4.5022,6.5779,24.91
2000-11-05,4.1801,6.6919,24.92
2000-11-06,5.1166,6.443,25.11
2000-11-07,4.7076,6.5501,24.59
2000-11-08,4.6997,6.499,24.02
2000-11-09,5.2937,6.6094,24.38
2000-11-10,5.0134,6.7097,23.91
2000-11-11,2.8574,6.7214,23.97
2000-11-12,5.581,6.672,24.0
2000-11-13,5.9167,6.6614,24.32
2000-11-14,5.0834,6.4685,24.04
2000-11-15,4.3762,6.2702,25.35
2000-11-16,4.3802,6.3823,25.85
2000-11-17,4.3778,6.4044,24.73
2000-11-18,3.2242,6.6144,24.69
2000-11-19,4.0596,6.0619,24.06
2000-11-20,3.9444,6.1774,25.48
2000-11-21,5.196,6.3679,25.37
2000-11-22,5.0282,6.3694,25.36
2000-11-23,4.0272,6.1958,25.27
2000-11-24,4.3138,6.2554,25.37
2000-11-25,3.4843,6.0744,25.1
2000-11-26,4.3046,6.4375,25.02
2000-11-27,3.5126,6.3922,25.38
2000-11-28,3.8882,5.9986,25.3
2000-11-29,3.5959,6.4694,25.27
2000-11-30,4.3145,6.2323,25.62
2000-12-01,3.708,6.1404,24.5
2000-12-02,3.294,6.2592,24.25
2000-12-03,3.4486,6.2602,24.27
2000-12-04,4.6277,6.2503,24.63
2000-12-05,3.4546,6.4157,24.03
2000-12-06,3.157,6.3326,24.19
2000-12-07,3.3259,5.9539,24.66
2000-12-08,3.8906,6.0636,25.67
2000-12-09,3.4054,6.3026,25.85
2000-12-10,2.3755,6.2971,25.26
2000-12-11,1.53,6.293,25.47
2000-12-12,4.1093,6.0389,26.09
2000-12-13,4.7016,6.2873,25.02
2000-12-14,3.3091,6.0547,25.1
2000-12-15,3.9149,6.0163,24.6
2000-12-16,4.0877,6.2813,24.19
2000-12-17,5.0753,6.1178,24.8
2000-12-18,4.872,6.1373,24.7
2000-12-19,3.1433,6.2525,24.53
2000-12-20,4.0222,6.1726,24.9
2000-12-21,3.6958,6.1627,25.32
2000-12-22,4.4126,6.1512,24.8
2000-12-23,3.8006,6.0583,25.66
2000-12-24,3.5935,6.2407,25.62
2000-12-25,2.7617,6.2705,24.96
2000-12-26,3.6346,6.0946,26.03
2000-12-27,2.7192,6.2866,24.92
2000-12-28,4.0572,6.1757,24.5
2000-12-29,4.0274,6.2146,24.55
2000-12-30,3.5786,6.0355,23.97
2000-12-31,4.0922,6.0398,25.22
2001-01-01,3.8592,6.3046,25.03
2001-01-02,4.3099,6.4397,25.89
2001-01-03,4.2742,6.2825,25.45
2001-01-04,3.7049,6.3226,24.55
2001-01-05,3.7226,6.1025,24.62
2001-01-06,3.995,6.209,24.33
2001-01-07,3.5112,6.2124,24.69
2001-01-08,3.0941,6.3346,25.23
2001-01-09,4.5002,6.2203,25.69
2001-01-10,3.269,6.0586,24.88
2001-01-11,3.2642,5.6508,24.69
2001-01-12,3.9862,6.0516,24.8
2001-01-13,3.9082,6.2534,24.86
2001-01-14,4.3236,6.313,25.41
2001-01-15,4.5552,6.2923,25.14
2001-01-16,4.1618,6.1301,25.05
2001-01-17,4.0452,6.1634,24.8
2001-01-18,3.87,6.1793,25.02
2001-01-19,3.1526,6.2923,25.04
2001-01-20,4.3274,6.4922,24.78
2001-01-21,4.3351,6.3821,24.85
2001-01-22,3.6547,6.2074,24.55
2001-01-23,2.9849,6.1687,24.19
2001-01-24,3.372,6.3797,24.99
2001-01-25,4.2701,6.4738,25.85
2001-01-26,4.3154,6.5174,25.91
2001-01-27,4.0346,5.9047,25.93
2001-01-28,4.6505,6.5414,25.19
2001-01-29,5.501,6.7164,25.82
2001-01-30,5.1809,6.6466,25.67
2001-01-31,5.0515,6.5714,25.8
2001-02-01,5.2289,6.6254,25.43
2001-02-02,5.3299,6.6506,25.33
2001-02-03,4.4443,6.139,25.36
2001-02-04,5.0314,6.4147,25.92
2001-02-05,3.972,6.4382,26.22
2001-02-06,4.6274,6.6305,26.84
2001-02-07,4.177,6.8294,27.4
2001-02-08,4.345,6.7886,27.62
2001-02-09,4.5898,6.8897,27.02
2001-02-10,4.9008,7.0236,27.49
2001-02-11,4.3538,6.7951,27.46
2001-02-12,4.7873,6.7272,27.64
2001-02-13,4.8062,6.9238,27.95
2001-02-14,4.3884,6.9403,26.73
2001-02-15,4.7592,6.619,26.85
2001-02-16,4.6241,6.3422,27.26
2001-02-17,4.1964,6.4183,27.01
2001-02-18,3.4459,6.6492,26.8
2001-02-19,4.019,6.2964,26.46
2001-02-20,3.3034,6.4459,26.54
2001-02-21,4.5482,6.6979,26.07
2001-02-22,5.527,6.8693,26.05
2001-02-23,4.6502,6.3593,26.4
2001-02-24,4.5799,6.6274,25.99
2001-02-25,3.4697,6.4615,26.01
2001-02-26,3.071,6.8196,26.02
2001-02-27,4.4688,6.8542,26.15
2001-02-28,4.8559,7.0747,26.24
2001-03-01,4.6889,6.9065,26.12
2001-03-02,4.5814,7.0027,26.48
2001-03-03,4.0802,6.9857,26.87
2001-03-04,3.6857,6.851,26.95
2001-03-05,2.9026,6.8604,26.03
2001-03-06,2.5788,6.6593,25.46
2001-03-07,2.0119,6.8203,23.88
2001-03-08,3.1783,6.9881,25.7
2001-03-09,3.2263,6.5551,26.47
2001-03-10,3.833,6.8155,26.95
2001-03-11,3.6005,7.103,27.33
2001-03-12,5.3333,7.002,27.96
2001-03-13,4.4268,6.7406,27.99
2001-03-14,3.9384,6.4126,28.11
2001-03-15,4.4856,6.4882,27.78
2001-03-16,4.4287,6.0262,27.58
2001-03-17,4.4988,6.0528,27.21
2001-03-18,4.2828,5.8032,26.94
2001-03-19,3.9598,6.6617,26.7
2001-03-20,3.7697,6.5614,26.15
2001-03-21,2.9225,6.4574,25.31
2001-03-22,4.3512,6.6245,25.55
2001-03-23,4.0906,6.5386,25.82
2001-03-24,3.8354,6.9996,26.23
2001-03-25,3.8537,6.8004,25.72
2001-03-26,3.5114,7.0469,25.68
2001-03-27,3.8786,7.0373,26.75
2001-03-28,4.2607,6.7102,27.55
2001-03-29,2.0683,6.743,27.36
2001-03-30,5.015,6.9497,26.82
2001-03-31,3.9528,6.8796,27.84
2001-04-01,4.2677,6.839,27.59
2001-04-02,4.3963,6.8011,27.36
2001-04-03,3.9566,6.8616,27.88
2001-04-04,3.3674,6.7608,27.69
2001-04-05,4.0654,6.6259,27.37
2001-04-06,3.678,6.7306,27.31
2001-04-07,3.3828,6.6756,27.74
2001-04-08,4.8007,7.0639,26.25
2001-04-09,3.6,7.1801,27.12
2001-04-10,3.5441,6.9456,26.32
2001-04-11,3.7306,7.0997,26.16
2001-04-12,4.4659,7.1383,26.72
2001-04-13,3.8916,7.0896,26.15
2001-04-14,3.3223,6.9113,27.16
2001-04-15,4.6932,7.0728,26.4
2001-04-16,3.7939,7.0262,26.29
2001-04-17,3.9204,6.9962,25.99
2001-04-18,4.1566,7.0666,26.96
2001-04-19,2.7698,7.2528,25.99
2001-04-20,4.2367,6.9833,25.78
2001-04-21,4.5924,7.001,27.8
2001-04-22,4.2751,7.1441,27.03
2001-04-23,4.602,7.1206,27.74
2001-04-24,4.6325,7.0529,28.06
2001-04-25,3.4445,6.9816,27.31
2001-04-26,3.3269,6.9893,26.55
2001-04-27,3.6742,7.1854,28.38
2001-04-28,4.2946,7.2658,28.17
2001-04-29,4.2684,7.2773,27.19
2001-04-30,3.4894,7.2763,27.64
2001-05-01,4.1328,7.3915,26.79
2001-05-02,3.3199,7.1558,26.77
2001-05-03,3.1214,7.1782,26.17
2001-05-04,3.9593,7.0781,25.45
2001-05-05,3.4769,7.1659,27.08
2001-05-06,4.3574,7.1263,26.91
2001-05-07,3.396,7.0579,26.6
2001-05-08,3.7169,7.1251,26.22
2001-05-09,4.2602,7.1206,26.41
2001-05-10,4.5922,7.259,27.56
2001-05-11,4.2487,7.2382,28.6
2001-05-12,2.8922,7.0596,26.98
2001-05-13,2.4814,6.8683,27.1
2001-05-14,5.0062,7.0517,26.12
2001-05-15,3.4937,7.0757,24.99
2001-05-16,4.873,7.0915,25.18
2001-05-17,4.2643,7.2809,26.71
2001-05-18,3.7697,7.0673,26.07
2001-05-19,3.0329,7.1273,26.06
2001-05-20,4.8869,7.0416,25.32
2001-05-21,3.438,7.2511,24.78
2001-05-22,5.3844,7.1846,25.36
2001-05-23,4.0433,7.2497,25.24
2001-05-24,4.6697,7.319,25.1
2001-05-25,4.5175,7.1198,24.91
2001-05-26,4.8,7.1592,24.43
2001-05-27,4.7676,7.0217,24.36
2001-05-28,5.1089,7.0478,24.39
2001-05-29,4.3603,7.1602,25.31
2001-05-30,4.7153,7.0735,25.34
2001-05-31,3.7248,7.1592,24.49
2001-06-01,3.5794,7.087,23.74
2001-06-02,4.3867,7.1676,24.09
2001-06-03,4.6733,7.1227,24.85
2001-06-04,4.4107,7.0524,24.02
2001-06-05,3.9638,6.9014,24.74
2001-06-06,4.9462,6.9074,25.07
2001-06-07,3.6797,7.0284,25.53
2001-06-08,5.1204,7.0855,24.92
2001-06-09,4.6176,7.0723,26.32
2001-06-10,4.3656,6.985,24.95
2001-06-11,3.8551,7.0978,24.96
2001-06-12,4.5792,6.9859,25.48
2001-06-13,4.7448,7.0402,25.05
2001-06-14,3.564,7.0678,24.06
2001-06-15,4.4743,6.9816,24.67
2001-06-16,3.2124,7.0435,25.52
2001-06-17,4.3886,7.146,25.6
2001-06-18,4.8048,7.1398,25.61
2001-06-19,4.6632,7.1455,26.34
2001-06-20,3.881,7.1172,26.8
2001-06-21,5.0074,7.157,25.32
2001-06-22,4.6459,7.019,25.17
2001-06-23,4.5336,6.9569,25.29
2001-06-24,4.1796,7.0694,25.16
2001-06-25,4.6226,7.099,25.26
2001-06-26,4.9294,6.9631,27.01
2001-06-27,4.7042,7.0207,26.08
