modelo,nse,kge,kge_r,kge_alpha_variabilidad,kge_beta_sesgo,rmse_m3s,mae_m3s,pbias_pct
persistencia,0.3643,0.6817,0.6817,0.9987,1.0027,5.1619,2.7599,0.27
climatologia_expandida,-0.1615,-0.1554,0.409,0.0258,1.1911,6.9772,5.7079,19.11
