fecha,obs,pred_gbm
2026-02-18,35.79,58.58772990506966
2026-02-19,30.0,49.208904760885204
2026-02-20,40.58,52.9046600847071
2026-02-21,51.91,44.006976478061695
2026-02-22,55.89,43.276569482240866
2026-02-23,28.58,60.235657110872594
2026-02-24,28.58,60.8925225999833
2026-02-25,27.55,53.623270481662836
2026-02-26,25.98,47.63636114014407
2026-02-27,26.08,28.934965517595966
2026-02-28,19.9,28.50086345660142
2026-03-01,79.4,31.622895446341936
2026-03-02,18.61,31.710092260011063
2026-03-03,41.67,37.951614553521
2026-03-04,23.03,31.724476915274295
2026-03-05,47.9,36.54693417243655
2026-03-06,47.33,27.39505706441229
2026-03-07,67.25,31.914980667965473
2026-03-08,30.24,42.82886585855431
2026-03-09,26.47,40.62007146855283
2026-03-10,27.4,35.0799061192569
2026-03-11,23.57,25.524668154639116
2026-03-12,18.02,28.096988121330455
2026-03-13,20.78,26.963900048286924
2026-03-14,20.23,23.43347752307978
2026-03-15,23.01,20.931102506919412
2026-03-16,28.41,23.54098361000061
2026-03-17,18.73,36.21385722674722
2026-03-18,20.61,44.533572425529734
2026-03-19,24.94,36.26900267779047
2026-03-20,19.45,21.95638271528625
2026-03-21,16.96,19.512038429301487
2026-03-22,22.65,18.07545458190039
2026-03-23,32.26,22.8951973758492
2026-03-24,25.72,17.74165105887769
2026-03-25,22.35,25.378646457816128
2026-03-26,34.38,28.225634301863707
2026-03-27,21.7,32.31386013683095
2026-03-28,38.55,43.62690443044776
2026-03-29,31.68,25.40650106049706
2026-03-30,32.05,40.00660774462385
2026-03-31,28.1,40.559298195966676
2026-04-01,31.43,56.44044912413911
2026-04-02,30.97,49.94349823084492
2026-04-03,42.27,41.68832124860556
2026-04-04,60.63,47.81982733657976
2026-04-05,26.79,41.12219715339592
2026-04-06,52.06,30.24845999835069
2026-04-07,116.4,30.3039544785139
2026-04-08,28.58,39.065166043759326
2026-04-09,23.96,45.701279224021576
2026-04-10,37.84,30.481977764405364
2026-04-11,27.63,28.48692776899427
2026-04-12,24.95,39.43404151371796
2026-04-13,20.94,30.918488002114593
2026-04-14,66.39,35.916624582806136
2026-04-15,111.19,41.368470626631364
2026-04-16,55.44,49.48233203157619
2026-04-17,26.22,64.08073147574176
2026-04-18,36.46,45.868236420785124
2026-04-19,37.21,37.05979879125051
2026-04-20,71.04,42.270915210694135
2026-04-21,40.41,45.37706827706906
2026-04-22,49.98,53.229113227502715
2026-04-23,76.24,63.80061210574338
2026-04-24,85.45,48.46240492492197
2026-04-25,70.63,48.181019440562196
2026-04-26,31.77,68.61422830961847
2026-04-27,59.51,46.74467541668294
2026-04-28,56.02,55.93082902549146
2026-04-29,31.49,56.90260194868354
2026-04-30,31.3,57.173109726000604
2026-05-01,46.39,50.83234730777748
2026-05-02,24.47,55.634334182207176
2026-05-03,25.35,56.54371005232778
2026-05-04,19.32,46.131702635996625
2026-05-05,27.07,46.27680963515455
2026-05-06,22.23,33.885301699641786
2026-05-07,12.76,30.562918154190864
2026-05-08,20.9,22.901572476234794
2026-05-09,29.92,26.559547818076556
2026-05-10,17.42,24.73580356221621
2026-05-11,21.79,39.177460460225724
2026-05-12,13.54,30.877255777905326
2026-05-13,16.49,27.80096145691223
