modelo,nse,kge,kge_r,kge_alpha_variabilidad,kge_beta_sesgo,rmse_m3s,mae_m3s,pbias_pct
persistencia,-0.0955,0.4519,0.4519,0.9994,1.0038,19.6994,13.2773,0.38
climatologia_expandida,-0.0571,-0.2375,0.2644,0.0186,1.1651,19.3505,15.534,16.51
