fecha,obs,pred_gbm_v2
2026-02-18,35.79,53.11099136664323
2026-02-19,30.0,51.860926150865474
2026-02-20,40.58,51.9459078749661
2026-02-21,51.91,51.187889022638366
2026-02-22,55.89,49.25575831234535
2026-02-23,28.58,52.213222591264476
2026-02-24,28.58,50.257808432179395
2026-02-25,27.55,55.86823174294398
2026-02-26,25.98,43.655698439785326
2026-02-27,26.08,27.48205119913467
2026-02-28,19.9,30.282278108348557
2026-03-01,79.4,33.050688976782496
2026-03-02,18.61,33.00766787944322
2026-03-03,41.67,41.473621050831824
2026-03-04,23.03,32.01395931460268
2026-03-05,47.9,35.93034545356083
2026-03-06,47.33,29.989840391357056
2026-03-07,67.25,32.449543882486154
2026-03-08,30.24,40.45663838594094
2026-03-09,26.47,42.35462973364531
2026-03-10,27.4,31.969712301873635
2026-03-11,23.57,33.169010497745845
2026-03-12,18.02,30.59587589519648
2026-03-13,20.78,29.231999943017296
2026-03-14,20.23,21.35987636811365
2026-03-15,23.01,21.642520011946754
2026-03-16,28.41,24.500828228781085
2026-03-17,18.73,28.126969039922358
2026-03-18,20.61,38.18733761755221
2026-03-19,24.94,34.29042548855475
2026-03-20,19.45,26.879074358861754
2026-03-21,16.96,23.479766001990097
2026-03-22,22.65,22.98785795679699
2026-03-23,32.26,23.086214877106013
2026-03-24,25.72,28.318769027315316
2026-03-25,22.35,31.723902824958333
2026-03-26,34.38,33.6758458978
2026-03-27,21.7,32.861422060344005
2026-03-28,38.55,40.630347848967986
2026-03-29,31.68,31.75410557186076
2026-03-30,32.05,38.262428325924105
2026-03-31,28.1,39.468604298938494
2026-04-01,31.43,39.967219531141026
2026-04-02,30.97,46.82027800163487
2026-04-03,42.27,38.25359195140914
2026-04-04,60.63,39.72562283940276
2026-04-05,26.79,43.48834391338963
2026-04-06,52.06,39.310393530584264
2026-04-07,116.4,40.224893622845286
2026-04-08,28.58,41.425828249256035
2026-04-09,23.96,52.961880337287575
2026-04-10,37.84,42.29206552921595
2026-04-11,27.63,27.976352554161384
2026-04-12,24.95,36.01544587257806
2026-04-13,20.94,33.374866132188565
2026-04-14,66.39,30.288586169667845
2026-04-15,111.19,29.320371053017062
2026-04-16,55.44,37.48855900147875
2026-04-17,26.22,47.764298848401566
2026-04-18,36.46,40.88071106912154
2026-04-19,37.21,35.525688407070945
2026-04-20,71.04,31.164346661853546
2026-04-21,40.41,32.91855299570311
2026-04-22,49.98,47.975203705260654
2026-04-23,76.24,54.70053686888041
2026-04-24,85.45,45.44919092600321
2026-04-25,70.63,55.69609288319059
2026-04-26,31.77,53.7926446968714
2026-04-27,59.51,49.74506803257748
2026-04-28,56.02,53.13656308640807
2026-04-29,31.49,54.45036998280325
2026-04-30,31.3,56.170463266150556
2026-05-01,46.39,49.67136305294271
2026-05-02,24.47,53.54564362238427
2026-05-03,25.35,53.086926428048194
2026-05-04,19.32,50.60787749884464
2026-05-05,27.07,46.94359047445664
2026-05-06,22.23,27.2968661996811
2026-05-07,12.76,27.39537793496271
2026-05-08,20.9,22.606164034312794
2026-05-09,29.92,23.420082460997502
2026-05-10,17.42,21.934801735214933
2026-05-11,21.79,38.40659412442596
2026-05-12,13.54,33.14602495504745
2026-05-13,16.49,33.5099874718708
2026-05-14,24.64,30.39079736367603
2026-05-15,46.26,27.68614705028547
2026-05-16,13.9,28.667696639940395
2026-05-17,22.17,33.68609002322203
2026-05-18,31.83,33.30868786495768
2026-05-19,15.87,33.43547676729155
2026-05-20,22.66,30.87621537637243
2026-05-21,17.56,35.43186208541055
2026-05-22,21.96,32.584319182469976
2026-05-23,30.34,23.71402585728753
2026-05-24,18.62,28.40134795028292
2026-05-25,21.24,32.963390294903654
2026-05-26,22.38,32.43042899545119
2026-05-27,19.92,30.849134474308308
2026-05-28,13.19,26.154745128955476
2026-05-29,18.04,30.09045633760483
2026-05-30,18.73,25.261833180287617
2026-05-31,28.0,24.153693517351122
2026-06-01,10.58,23.40470101497729
2026-06-02,24.96,24.252433721830013
2026-06-03,24.96,21.68269956868335
2026-06-04,47.13,32.56113250957987
2026-06-05,31.07,31.467921378167794
2026-06-06,58.53,59.54677101001895
2026-06-07,82.71,59.288338716488376
2026-06-08,45.78,62.50469565795852
2026-06-09,40.89,61.75636560479329
2026-06-10,19.75,60.774911884694326
2026-06-11,26.44,50.9667852780416
2026-06-12,26.44,35.64700356568386
2026-06-13,43.41,34.15096513529972
2026-06-14,17.39,31.956699010096447
2026-06-15,16.06,39.81367365931706
2026-06-16,19.75,35.06012546468228
2026-06-17,17.33,30.04151522247625
2026-06-18,62.8,29.40503770910818
2026-06-19,37.02,32.65987595005719
2026-06-20,79.39,42.55361323738742
2026-06-21,37.41,52.02630094690633
2026-06-22,83.0,44.43842320110355
2026-06-23,21.7,50.84479874238004
2026-06-24,40.52,38.79454740248046
2026-06-25,42.87,25.361120148553447
2026-06-26,40.5,30.85778833062947
2026-06-27,25.42,30.32148206674432
2026-06-28,17.45,30.16950530826598
2026-06-29,17.65,26.901208799126042
2026-06-30,11.76,22.393275136204668
2026-07-01,12.88,21.52831131305846
2026-07-02,11.74,21.274966579607977
2026-07-03,10.21,22.507931621514334
2026-07-04,14.09,21.98624014913068
2026-07-05,34.22,21.76424837869092
2026-07-06,12.69,20.191065283510156
2026-07-07,10.76,24.902877038925915
2026-07-08,17.6,19.836477511924176
2026-07-09,11.63,20.706395294841496
2026-07-10,13.9,20.20434915386181
2026-07-11,18.51,19.77085641946811
2026-07-12,13.72,23.736667095559092
2026-07-13,16.35,21.654023304870627
2026-07-14,9.14,18.65869557288239
2026-07-15,15.52,20.23469522144086
2026-07-16,8.91,17.996769500799846
2026-07-17,8.66,18.153303912258263
2026-07-18,10.83,16.309396877627933
2026-07-19,22.91,24.87104462872274
2026-07-20,19.54,33.71776712839859
2026-07-21,10.06,37.11998688966667
2026-07-22,48.66,33.82240642353863
2026-07-23,26.57,31.05718505563131
2026-07-24,15.09,43.14541560614603
2026-07-25,29.19,32.12249457385261
2026-07-26,21.22,24.688261773792604
2026-07-27,6.99,29.762419067416538
2026-07-28,30.98,22.23344527772503
2026-07-29,10.97,20.884357580992344
2026-07-30,9.99,25.910974702264053
2026-07-31,9.23,16.494270029389906
2026-08-01,15.97,16.93542449929885
2026-08-02,9.69,16.198383484586227
2026-08-03,15.55,19.777940692739627
2026-08-04,19.84,18.286024774466505
2026-08-05,16.38,19.917298981623333
2026-08-06,15.89,18.78783807689284
2026-08-07,16.78,17.399561668259636
2026-08-08,34.32,19.318951564254647
2026-08-09,13.05,22.407830397881295
2026-08-10,17.68,25.255421130193753
2026-08-11,16.52,18.04768615293589
2026-08-12,15.84,19.374092469255398
2026-08-13,10.35,17.899397789162443
2026-08-14,16.87,20.97718406518063
2026-08-15,35.35,23.471041443473545
2026-08-16,47.7,23.778994501633395
2026-08-17,14.72,42.01516868126429
2026-08-18,26.61,41.37634144492576
2026-08-19,10.29,29.400003036802357
2026-08-20,16.06,22.01208547113689
2026-08-21,12.24,17.3606189474592
2026-08-22,13.69,20.445660030484298
2026-08-23,21.26,18.878688381242398
2026-08-24,9.43,20.662135576442314
2026-08-25,14.14,18.486526323971347
2026-08-26,13.9,19.150827749285686
2026-08-27,36.56,19.371579746377073
2026-08-28,48.95,15.773897303059256
2026-08-29,33.49,26.346692141478716
2026-08-30,16.81,36.27542081148185
