modelo,nse,kge,kge_r,kge_alpha_variabilidad,kge_beta_sesgo,rmse_m3s,mae_m3s,pbias_pct
persistencia,-0.0349,0.4825,0.4825,0.9999,1.0005,24.1844,15.6607,0.05
climatologia_expandida,-0.0018,-0.3867,0.0304,0.0091,1.0318,23.7943,17.7185,3.18
