,importancia
q_hoy,138.1427574754828
q_lag3,5.491748977185577
q_lag1,5.241070844438994
q_lag2,5.079675213558781
precip_acum3,4.996944691594194
mes_cos,2.0812331104325947
precip_lag1,2.076152775180327
ideam_0023087150_m3s_hoy,1.8342192419057226
mes_sin,1.3610863107009123
precip_lag2,1.260267126992349
precip_hoy,0.6851860763197749
ideam_0023087150_m3s_faltante,0.0003888668459779865
precip_lag3,-0.09922562482033186
ideam_0023087660_m3s_faltante,-0.1247616549482018
ideam_0023087660_m3s_hoy,-0.8279620810599795
