fecha,obs,pred_gbm_v2
2026-02-18,15.3,19.97052541157521
2026-02-19,13.79,16.528627424995875
2026-02-20,13.38,14.424353756491398
2026-02-21,12.73,14.389169284059456
2026-02-22,16.37,14.132461122682605
2026-02-23,22.68,18.51735493757151
2026-02-24,22.68,20.303318379140197
2026-02-25,17.21,23.23333779220117
2026-02-26,15.62,21.464757355865245
2026-02-27,14.24,18.317605039220524
2026-02-28,13.49,14.83690479150328
2026-03-01,13.27,14.875396425609502
2026-03-02,12.15,15.809445361163878
2026-03-03,13.67,16.563122298661224
2026-03-04,13.42,17.286495776223294
2026-03-05,12.62,17.831848699895975
2026-03-06,12.09,16.71087254901022
2026-03-07,12.4,14.578520880878672
2026-03-08,12.47,16.171221574504834
2026-03-09,12.7,15.462453233626714
2026-03-10,13.8,15.303653362579656
2026-03-11,13.08,17.031714224519757
2026-03-12,14.3,16.377533742877922
2026-03-13,11.65,16.30244139139954
2026-03-14,10.97,15.67795023361596
2026-03-15,12.26,16.28070850787189
2026-03-16,12.3,16.330723598909216
2026-03-17,39.8,18.511726804808866
2026-03-18,21.36,37.67109101006133
2026-03-19,17.72,29.46840574223863
2026-03-20,15.79,22.73977387806661
2026-03-21,18.39,19.806399927158026
2026-03-22,15.81,21.022086595898145
2026-03-23,15.14,22.179148769431013
2026-03-24,14.02,22.475671702330175
2026-03-25,12.93,22.630581949475086
2026-03-26,12.93,16.79980636279338
2026-03-27,13.37,15.601738209109008
2026-03-28,12.74,15.280410140491963
2026-03-29,14.38,12.195099775266959
2026-03-30,16.32,14.54127347217743
2026-03-31,20.42,15.79855170789152
2026-04-01,28.84,21.900257220998014
2026-04-02,16.99,21.298228319095777
2026-04-03,16.35,19.72854367629015
2026-04-04,14.92,23.83710544186706
2026-04-05,14.23,21.587490130129144
2026-04-06,12.82,21.75917729914334
2026-04-07,17.03,21.17101230266781
2026-04-08,17.03,19.139978427304648
2026-04-09,13.5,21.23390568173897
2026-04-10,16.13,15.34982247012223
2026-04-11,12.39,15.297657355062466
2026-04-12,13.05,15.223613725545398
2026-04-13,14.78,15.213350830806167
2026-04-14,15.08,13.713954017655318
2026-04-15,24.02,20.54286260683457
2026-04-16,49.72,23.105778669118934
2026-04-17,32.78,34.668016756887354
2026-04-18,24.77,24.07940899941209
2026-04-19,31.02,26.790541599472316
2026-04-20,25.35,26.818723612279648
2026-04-21,23.25,21.9086900516144
2026-04-22,21.54,23.789306851581276
2026-04-23,19.9,28.872482799382258
2026-04-24,29.28,29.962956032564335
2026-04-25,41.97,27.538835339927687
2026-04-26,25.06,27.09798894250665
2026-04-27,27.31,23.179509938922855
2026-04-28,20.39,31.691104755737513
2026-04-29,17.26,29.427976572549937
2026-04-30,14.43,25.06726355283536
2026-05-01,30.13,27.81119201874461
2026-05-02,20.75,31.741708417837387
2026-05-03,30.19,29.41897799075142
2026-05-04,23.62,32.59766582468742
2026-05-05,17.47,27.91850342819014
2026-05-06,16.11,22.980663065730887
2026-05-07,14.51,21.262153531107845
2026-05-08,13.7,20.835869229467985
2026-05-09,13.53,18.01942722087117
2026-05-10,13.11,17.343041599465387
2026-05-11,12.88,15.30992972935454
2026-05-12,12.43,15.27238070184395
2026-05-13,14.72,13.58551753562297
2026-05-14,13.43,14.026106040656348
2026-05-15,12.98,13.00722897765504
2026-05-16,12.24,13.017938614738517
2026-05-17,12.53,13.920945436617579
2026-05-18,12.44,12.764999108839014
2026-05-19,11.23,13.801586548720921
2026-05-20,11.37,13.217215192497745
2026-05-21,16.18,13.512424911407374
2026-05-22,12.44,12.883489322714235
2026-05-23,15.24,13.163905388134394
2026-05-24,11.51,14.68414254426776
2026-05-25,10.94,14.762500594254696
2026-05-26,10.61,13.00759248878726
2026-05-27,11.69,13.22871302515759
2026-05-28,10.86,12.778290075932185
2026-05-29,11.73,12.582762015261073
2026-05-30,10.7,12.12844594692378
2026-05-31,9.71,12.082184323292783
2026-06-01,9.64,11.8741433435371
2026-06-02,11.21,11.802501682125909
2026-06-03,11.21,11.805719668859686
