fecha,obs,pred_gbm
2026-02-18,15.3,20.928179833564347
2026-02-19,13.79,18.19488983230949
2026-02-20,13.38,14.5952576026496
2026-02-21,12.73,14.338912115483762
2026-02-22,16.37,13.536225619279469
2026-02-23,22.68,19.04260880723537
2026-02-24,22.68,20.860240616146413
2026-02-25,17.21,27.277993393909636
2026-02-26,15.62,20.939830986737096
2026-02-27,14.24,18.277139379120875
2026-02-28,13.49,15.787934907358236
2026-03-01,13.27,14.45790272171224
2026-03-02,12.15,14.66611919710279
2026-03-03,13.67,15.575386193143775
2026-03-04,13.42,17.389099986562293
2026-03-05,12.62,16.457014942388277
2026-03-06,12.09,15.914596909590303
2026-03-07,12.4,14.701998137344066
2026-03-08,12.47,15.255047411078326
2026-03-09,12.7,14.688517661849051
2026-03-10,13.8,15.249684594313877
2026-03-11,13.08,16.55390161244656
2026-03-12,14.3,15.749887334775725
2026-03-13,11.65,16.358187194274155
2026-03-14,10.97,14.87075696726306
2026-03-15,12.26,15.596235792201755
2026-03-16,12.3,15.750903080408214
2026-03-17,39.8,18.363011722903032
2026-03-18,21.36,42.15942934735986
2026-03-19,17.72,27.104111669529775
2026-03-20,15.79,28.333476505162103
2026-03-21,18.39,21.642286979471567
2026-03-22,15.81,20.840785036030837
2026-03-23,15.14,20.958496248498225
2026-03-24,14.02,20.726118221948358
2026-03-25,12.93,20.61218135514571
2026-03-26,12.93,16.759687077919075
2026-03-27,13.37,16.990450891600236
2026-03-28,12.74,16.648146095028014
2026-03-29,14.38,14.41031658541172
2026-03-30,16.32,16.024380945940973
2026-03-31,20.42,17.014129846908652
2026-04-01,28.84,22.797433946417907
2026-04-02,16.99,25.664953562070746
2026-04-03,16.35,21.552983174492038
2026-04-04,14.92,24.668893720461362
2026-04-05,14.23,23.285855577216456
2026-04-06,12.82,20.53430401094904
2026-04-07,17.03,20.794923973418875
2026-04-08,17.03,21.619967505918158
2026-04-09,13.5,20.193797448398144
2026-04-10,16.13,16.380648878616142
2026-04-11,12.39,16.449984682105327
2026-04-12,13.05,14.937778237744789
2026-04-13,14.78,15.090201804359326
2026-04-14,15.08,14.98542176359903
2026-04-15,24.02,21.175520808146537
2026-04-16,49.72,28.36950747276104
2026-04-17,32.78,39.945573285052106
2026-04-18,24.77,26.096796044304014
2026-04-19,31.02,30.5404247255864
2026-04-20,25.35,28.082402970490886
2026-04-21,23.25,24.315413026694273
2026-04-22,21.54,26.18114248345083
2026-04-23,19.9,32.76758988634208
2026-04-24,29.28,32.26671465043984
2026-04-25,41.97,31.63310244997257
2026-04-26,25.06,41.93964590340439
2026-04-27,27.31,25.31844845374348
2026-04-28,20.39,36.526269523065565
2026-04-29,17.26,30.255808819737872
2026-04-30,14.43,27.57848150155773
2026-05-01,30.13,26.444031671348974
2026-05-02,20.75,30.39047769239224
2026-05-03,30.19,28.35762435584889
2026-05-04,23.62,31.20046494005484
2026-05-05,17.47,25.9576327956951
2026-05-06,16.11,24.70026904140075
2026-05-07,14.51,24.025132165020008
2026-05-08,13.7,19.99328936182225
2026-05-09,13.53,17.16546964431426
2026-05-10,13.11,15.552288795623515
2026-05-11,12.88,15.319457532828181
2026-05-12,12.43,14.637914147850774
2026-05-13,14.72,13.949018744737405
2026-05-14,13.43,15.34077356757948
2026-05-15,12.98,14.610655436405358
2026-05-16,12.24,14.158113792913342
2026-05-17,12.53,14.008616709769472
2026-05-18,12.44,13.904726791616449
2026-05-19,11.23,14.356384441420053
2026-05-20,11.37,13.744102527100218
2026-05-21,16.18,14.624699946377488
2026-05-22,12.44,14.747918661750688
2026-05-23,15.24,14.764518515022754
2026-05-24,11.51,14.803132662144687
2026-05-25,10.94,15.148764224003513
2026-05-26,10.61,14.010208474328989
2026-05-27,11.69,13.766161949261651
2026-05-28,10.86,13.581358527481965
2026-05-29,11.73,13.858901887825535
2026-05-30,10.7,12.283098029978424
2026-05-31,9.71,12.816500198649534
2026-06-01,9.64,12.160588766986615
2026-06-02,11.21,12.105889508168753
2026-06-03,11.21,11.88627768589861
2026-06-04,12.71,13.174430692835937
2026-06-05,10.55,15.74078326058898
2026-06-06,13.87,17.729924734851846
2026-06-07,23.48,23.958416798272292
2026-06-08,23.19,30.10111973294998
2026-06-09,17.27,33.47752970231164
2026-06-10,15.39,28.46223001391915
2026-06-11,11.38,23.686316640568762
2026-06-12,11.38,23.21698531591769
2026-06-13,12.97,17.80878156754834
2026-06-14,12.19,16.97440557657182
2026-06-15,11.74,15.816489469036844
2026-06-16,10.26,15.677239775578087
2026-06-17,14.2,15.819642555945514
2026-06-18,17.57,21.38440434806699
2026-06-19,17.44,23.457240744395154
2026-06-20,19.82,22.954142973360863
2026-06-21,16.96,21.297372712838147
2026-06-22,34.95,19.944131632946764
2026-06-23,19.27,25.778635258886343
2026-06-24,12.44,17.394519589006908
2026-06-25,12.36,16.830968861338363
2026-06-26,11.6,17.116482664222406
2026-06-27,11.19,14.947642809663105
2026-06-28,10.55,14.618337157563596
2026-06-29,10.18,14.22619157211552
2026-06-30,10.89,14.189933879497593
2026-07-01,11.0,13.820261359792871
2026-07-02,10.74,13.640785512025088
2026-07-03,10.39,13.742782316400353
2026-07-04,10.23,13.675562640807406
2026-07-05,10.09,13.494337734336238
2026-07-06,9.52,12.286444983706453
2026-07-07,9.32,12.10062392730343
2026-07-08,9.57,11.435340774092328
2026-07-09,9.37,11.60941826011867
2026-07-10,9.57,11.18795411646669
2026-07-11,11.87,11.223596608992219
2026-07-12,10.38,13.19170437032046
2026-07-13,9.27,12.731694809127715
2026-07-14,8.72,11.286030645175764
2026-07-15,8.8,13.643774161906027
2026-07-16,8.37,13.047346205870566
2026-07-17,8.48,12.633644682755811
2026-07-18,8.44,12.890940153067522
2026-07-19,16.44,12.505331054274865
2026-07-20,19.07,13.928941304350278
2026-07-21,11.02,14.653729969086056
2026-07-22,16.02,14.124956972182032
2026-07-23,22.74,18.340588082511648
2026-07-24,11.8,17.176434739048208
2026-07-25,15.17,15.668375874245687
2026-07-26,11.55,15.927760688749357
2026-07-27,10.52,15.639750470750144
2026-07-28,10.71,13.536381701743416
2026-07-29,9.63,13.537009801042307
2026-07-30,9.22,12.644240847755794
2026-07-31,8.92,11.282947740339877
2026-08-01,8.64,10.947590585963027
2026-08-02,8.6,9.845279100928227
2026-08-03,8.87,9.432360376543455
2026-08-04,9.24,9.368222811937224
2026-08-05,8.63,9.723209119017941
2026-08-06,8.37,9.668329771250013
2026-08-07,8.21,9.660030649091834
2026-08-08,8.42,11.196107611846259
2026-08-09,8.16,11.483701164725861
2026-08-10,7.75,11.210643015856489
2026-08-11,7.78,11.137948615470076
2026-08-12,7.57,11.447691284273873
2026-08-13,7.53,11.182147943775787
2026-08-14,7.36,11.34461611112125
2026-08-15,7.91,11.498236568736091
2026-08-16,13.42,13.748606245365387
2026-08-17,15.11,14.547030830032655
2026-08-18,9.97,13.928387512708975
2026-08-19,8.86,14.00646664267916
2026-08-20,8.69,14.06361414457522
2026-08-21,8.58,13.221120047394807
2026-08-22,8.31,11.959095822072864
2026-08-23,8.1,11.39195884093892
2026-08-24,7.86,11.748618227540554
2026-08-25,7.77,11.996235135787744
2026-08-26,7.7,11.887403036402944
2026-08-27,8.1,11.33126121155839
2026-08-28,11.62,12.927127569934662
2026-08-29,12.56,14.646570224711656
2026-08-30,9.19,13.75260759431247
