fecha,objetivo_t1,evento,pred_evento,pred_persistencia,pred_hurdle
2021-08-29,101.361,1,0,28.728,28.728
2021-08-30,60.394,1,1,101.361,36.14445570174877
2021-08-31,37.5,0,0,60.394,60.394
2021-09-01,32.81,0,0,37.5,37.5
2021-09-02,26.73,0,0,32.81,32.81
2021-09-03,32.578,0,0,26.73,26.73
2021-09-04,85.93,1,0,32.578,32.578
2021-09-05,47.025,1,1,85.93,34.649972638588565
2021-09-06,86.541,1,0,47.025,47.025
2021-09-07,47.91,1,0,86.541,86.541
2021-09-08,27.908,0,0,47.91,47.91
2021-09-09,39.238,0,0,27.908,27.908
2021-09-10,32.306,0,0,39.238,39.238
2021-09-11,40.525,0,0,32.306,32.306
2021-09-12,22.884,0,0,40.525,40.525
2021-09-13,57.622,0,0,22.884,22.884
2021-09-14,60.66,0,0,57.622,57.622
2021-09-15,28.429,0,0,60.66,60.66
2021-09-16,27.677,0,0,28.429,28.429
2021-09-17,27.475,0,0,27.677,27.677
2021-09-18,41.995,0,0,27.475,27.475
2021-09-19,24.542,0,0,41.995,41.995
2021-09-20,89.454,1,0,24.542,24.542
2021-09-21,47.09,1,0,89.454,89.454
2021-09-22,81.999,0,0,47.09,47.09
2021-09-23,48.51,0,0,81.999,81.999
2021-09-24,29.905,0,0,48.51,48.51
2021-09-25,24.611,0,0,29.905,29.905
2021-09-26,25.482,0,0,24.611,24.611
2021-09-27,25.811,0,0,25.482,25.482
2021-09-28,43.283,0,0,25.811,25.811
2021-09-29,51.901,0,0,43.283,43.283
2021-09-30,30.324,0,0,51.901,51.901
2021-10-01,121.363,1,0,30.324,30.324
2021-10-02,76.505,1,1,121.363,42.83396921984559
2021-10-03,37.593,1,0,76.505,76.505
2021-10-04,44.795,0,0,37.593,37.593
2021-10-05,26.553,0,0,44.795,44.795
2021-10-06,33.383,0,0,26.553,26.553
2021-10-07,34.15,0,0,33.383,33.383
2021-10-08,43.561,0,0,34.15,34.15
2021-10-09,58.158,0,0,43.561,43.561
2021-10-10,36.281,0,0,58.158,58.158
2021-10-11,28.328,0,0,36.281,36.281
2021-10-12,50.893,0,0,28.328,28.328
2021-10-13,33.041,0,0,50.893,50.893
2021-10-14,20.414,0,0,33.041,33.041
2021-10-15,76.254,1,0,20.414,20.414
2021-10-16,39.275,1,1,76.254,30.53700810426171
2021-10-17,26.048,0,0,39.275,39.275
2021-10-18,91.739,1,0,26.048,26.048
2021-10-19,59.418,0,1,91.739,38.636111791917415
2021-10-20,42.894,0,0,59.418,59.418
2021-10-21,55.051,0,0,42.894,42.894
2021-10-22,31.1,0,0,55.051,55.051
2021-10-23,29.82,0,0,31.1,31.1
2021-10-24,52.04,0,0,29.82,29.82
2021-10-25,52.422,0,0,52.04,52.04
2021-10-26,64.357,0,0,52.422,52.422
2021-10-27,22.051,1,0,64.357,64.357
2021-10-28,35.162,0,0,22.051,22.051
2021-10-29,54.729,0,0,35.162,35.162
2021-10-30,76.526,0,0,54.729,54.729
2021-10-31,44.573,0,0,76.526,76.526
2021-11-01,31.513,0,0,44.573,44.573
2021-11-02,40.146,0,0,31.513,31.513
2021-11-03,96.833,1,0,40.146,40.146
2021-11-04,30.521,1,1,96.833,39.47759260730076
2021-11-05,34.249,0,0,30.521,30.521
2021-11-06,83.344,1,0,34.249,34.249
2021-11-07,54.669,0,1,83.344,43.85480823397161
2021-11-08,44.253,0,0,54.669,54.669
2021-11-09,46.471,0,0,44.253,44.253
2021-11-10,40.545,0,0,46.471,46.471
2021-11-11,37.574,0,0,40.545,40.545
2021-11-12,37.63,0,0,37.574,37.574
2021-11-13,32.828,0,0,37.63,37.63
2021-11-14,37.019,0,0,32.828,32.828
2021-11-15,22.711,0,0,37.019,37.019
2021-11-16,23.478,0,0,22.711,22.711
2021-11-17,21.679,0,0,23.478,23.478
2021-11-18,24.624,0,0,21.679,21.679
2021-11-19,28.557,0,0,24.624,24.624
2021-11-20,28.461,0,0,28.557,28.557
2021-11-21,37.853,0,0,28.461,28.461
2021-11-22,41.933,0,0,37.853,37.853
2021-11-23,58.018,0,0,41.933,41.933
2021-11-24,48.596,0,0,58.018,58.018
2021-11-25,41.813,0,0,48.596,48.596
2021-11-26,80.602,1,0,41.813,41.813
2021-11-27,27.104,1,0,80.602,80.602
2021-11-28,24.615,0,0,27.104,27.104
2021-11-29,37.959,0,0,24.615,24.615
2021-11-30,65.195,0,0,37.959,37.959
2021-12-01,33.568,0,0,65.195,65.195
2021-12-02,50.724,0,0,33.568,33.568
2021-12-03,67.434,0,0,50.724,50.724
2021-12-04,35.659,0,0,67.434,67.434
2021-12-05,48.695,0,0,35.659,35.659
2021-12-12,17.668,0,0,21.427,21.427
2021-12-13,16.233,0,0,17.668,17.668
2021-12-14,16.99,0,0,16.233,16.233
2021-12-15,16.962,0,0,16.99,16.99
2021-12-16,17.365,0,0,16.962,16.962
2021-12-17,15.17,0,0,17.365,17.365
2021-12-18,15.005,0,0,15.17,15.17
2021-12-19,20.983,0,0,15.005,15.005
2021-12-20,20.401,0,0,20.983,20.983
2021-12-21,21.478,0,0,20.401,20.401
2021-12-22,24.126,0,0,21.478,21.478
2021-12-23,26.135,0,0,24.126,24.126
2021-12-24,22.215,0,0,26.135,26.135
2021-12-25,27.302,0,0,22.215,22.215
2021-12-31,48.85,0,0,15.338,15.338
2022-01-01,31.106,0,0,48.85,48.85
2022-01-02,24.54,0,0,31.106,31.106
2022-01-03,21.593,0,0,24.54,24.54
2022-01-04,20.701,0,0,21.593,21.593
2022-01-05,15.575,0,0,20.701,20.701
2022-01-06,18.611,0,0,15.575,15.575
2022-01-07,18.799,0,0,18.611,18.611
2022-01-08,28.717,0,0,18.799,18.799
2022-01-09,23.564,0,0,28.717,28.717
2022-01-10,14.614,0,0,23.564,23.564
2022-01-11,16.765,0,0,14.614,14.614
2022-01-12,24.419,0,0,16.765,16.765
2022-01-13,30.447,0,0,24.419,24.419
2022-01-14,29.287,0,0,30.447,30.447
2022-01-15,18.959,0,0,29.287,29.287
2022-01-16,29.646,0,0,18.959,18.959
2022-01-17,12.309,0,0,29.646,29.646
2022-01-18,14.6,0,0,12.309,12.309
2022-01-19,26.994,0,0,14.6,14.6
2022-01-20,20.409,0,0,26.994,26.994
2022-01-21,18.758,0,0,20.409,20.409
2022-01-22,21.368,0,0,18.758,18.758
2022-01-23,17.982,0,0,21.368,21.368
2022-01-24,17.791,0,0,17.982,17.982
2022-01-30,9.585,0,0,5.609,5.609
2022-01-31,12.936,0,0,9.585,9.585
2022-02-01,15.591,0,0,12.936,12.936
2022-02-02,15.925,0,0,15.591,15.591
2022-02-03,17.799,0,0,15.925,15.925
2022-02-04,19.166,0,0,17.799,17.799
2022-02-05,25.387,0,0,19.166,19.166
2022-02-06,30.468,0,0,25.387,25.387
2022-02-07,25.109,0,0,30.468,30.468
2022-02-08,34.217,0,0,25.109,25.109
2022-02-09,23.096,0,0,34.217,34.217
2022-02-10,17.747,0,0,23.096,23.096
2022-02-11,16.464,0,0,17.747,17.747
2022-02-12,22.012,0,0,16.464,16.464
2022-02-13,26.36,0,0,22.012,22.012
2022-02-14,19.74,0,0,26.36,26.36
2022-02-15,18.396,0,0,19.74,19.74
2022-02-16,16.629,0,0,18.396,18.396
2022-02-17,40.101,0,0,16.629,16.629
2022-02-18,28.912,0,0,40.101,40.101
2022-02-24,17.225,0,0,18.676,18.676
2022-02-25,21.781,0,0,17.225,17.225
2022-02-26,41.532,0,0,21.781,21.781
2022-02-27,33.943,0,0,41.532,41.532
2022-02-28,39.504,0,0,33.943,33.943
2022-03-01,26.166,0,0,39.504,39.504
2022-03-02,18.656,0,0,26.166,26.166
2022-03-03,29.949,0,0,18.656,18.656
2022-03-04,30.676,0,0,29.949,29.949
2022-03-05,72.459,1,0,30.676,30.676
2022-03-06,24.08,1,0,72.459,72.459
2022-03-07,21.13,0,0,24.08,24.08
2022-03-08,16.419,0,0,21.13,21.13
2022-03-09,15.13,0,0,16.419,16.419
2022-03-10,23.28,0,0,15.13,15.13
2022-03-11,104.398,1,0,23.28,23.28
2022-03-12,23.744,1,1,104.398,34.05094621993976
2022-03-13,85.759,1,0,23.744,23.744
2022-03-14,45.635,1,1,85.759,32.72841592283845
2022-03-15,57.959,0,0,45.635,45.635
2022-03-16,43.946,0,0,57.959,57.959
2022-03-17,28.799,0,0,43.946,43.946
2022-03-18,22.369,0,0,28.799,28.799
2022-03-19,60.513,1,0,22.369,22.369
2022-03-20,25.974,0,0,60.513,60.513
2022-03-21,40.849,0,0,25.974,25.974
2022-03-22,75.664,0,0,40.849,40.849
2022-03-23,44.537,0,1,75.664,22.73543849079802
2022-03-24,43.917,0,0,44.537,44.537
2022-03-25,42.56,0,0,43.917,43.917
2022-03-26,30.329,0,0,42.56,42.56
2022-03-27,36.306,0,0,30.329,30.329
2022-03-28,57.306,0,0,36.306,36.306
2022-03-29,75.216,0,0,57.306,57.306
2022-03-30,25.588,1,0,75.216,75.216
2022-03-31,47.059,0,0,25.588,25.588
2022-04-01,69.076,0,0,47.059,47.059
2022-04-02,30.307,1,0,69.076,69.076
2022-04-03,38.316,0,0,30.307,30.307
2022-04-04,22.088,0,0,38.316,38.316
2022-04-05,28.928,0,0,22.088,22.088
2022-04-06,84.523,1,0,28.928,28.928
2022-04-07,31.5,1,0,84.523,84.523
2022-04-08,35.563,0,0,31.5,31.5
2022-04-09,47.38,0,0,35.563,35.563
2022-04-10,63.51,0,0,47.38,47.38
2022-04-11,82.705,0,0,63.51,63.51
2022-04-12,58.139,0,0,82.705,82.705
2022-04-13,31.719,0,0,58.139,58.139
2022-04-14,51.969,0,0,31.719,31.719
2022-04-15,55.329,0,0,51.969,51.969
2022-04-16,31.81,0,0,55.329,55.329
2022-04-17,33.293,0,0,31.81,31.81
2022-04-18,35.741,0,0,33.293,33.293
2022-04-19,57.855,0,0,35.741,35.741
2022-04-20,97.351,1,0,57.855,57.855
2022-04-21,103.12,0,1,97.351,43.827523501374834
2022-04-22,72.499,0,0,103.12,103.12
2022-04-23,46.635,0,0,72.499,72.499
2022-04-24,45.8,0,0,46.635,46.635
2022-04-25,43.714,0,0,45.8,45.8
