,nse,kge,kge_r,kge_alpha_variabilidad,kge_beta_sesgo,rmse_m3s,mae_m3s,pbias_pct
train,0.889,0.8785,0.9443,0.892,1.0002,2.9646,1.9274,0.02
test,0.1882,0.6378,0.7139,0.9923,1.222,5.8401,4.4019,22.2
