fecha,obs,pred_gbm_v2
2021-04-18,18.71,31.898728082859048
2021-04-19,16.43,30.881294085316682
2021-04-20,31.78,26.337223470050834
2021-04-21,38.98,22.650407832836216
2021-04-22,128.57,27.191190761359778
2021-04-23,49.89,35.461006041295256
2021-04-24,34.31,38.34274856285032
2021-04-25,56.56,39.19805516431383
2021-04-26,48.8,44.0585577441751
2021-04-27,34.29,42.23213918416155
2021-04-28,41.714,45.42966621429891
2021-04-29,41.57,40.280968463286555
2021-04-30,33.461,40.391096813145126
2021-05-01,68.132,38.15489291701809
2021-05-02,39.244,40.29019629237524
2021-05-03,38.882,47.943977415451855
2021-05-04,42.048,43.633873228765495
2021-05-05,29.783,40.94499458965115
2021-05-06,46.93,43.87988335327611
2021-05-07,94.098,44.677101904866355
2021-05-08,41.734,45.34849944175625
2021-05-09,29.285,47.56560026872108
2021-05-10,24.48,43.901689152671715
2021-05-11,28.771,36.79008839896688
2021-05-12,28.236,32.556857490425614
2021-05-13,48.405,34.004368689320366
2021-05-14,150.421,38.26796978571929
2021-05-15,96.352,42.40905973144665
2021-05-16,178.52,53.33268457627329
2021-05-17,71.107,57.23410919041898
2021-05-18,70.515,57.328690717360594
2021-05-19,46.272,48.776459487765486
2021-05-20,30.229,47.708209657612976
2021-05-21,82.157,43.76359206883599
2021-05-22,85.185,45.95839277649022
2021-05-23,37.351,48.947430294932865
2021-05-24,103.989,42.69166782953315
2021-05-25,63.149,40.293698901740306
2021-05-26,21.877,50.23664748749857
2021-05-27,31.057,44.78413578677234
2021-05-28,55.089,40.19753364188039
2021-05-29,35.161,41.61176268703697
2021-05-30,85.736,38.90286899692591
2021-05-31,146.083,44.86872143929724
2021-06-01,55.561,57.27009714934143
2021-06-02,67.059,64.06943770256551
2021-06-03,43.427,46.16021643203368
2021-06-04,31.515,50.59979457940797
2021-06-05,53.467,43.435899696754326
2021-06-06,41.209,41.85989490469916
2021-06-07,81.02,41.65281708300246
2021-06-08,70.226,46.1863555845784
2021-06-09,48.393,56.285492471077674
2021-06-10,73.072,44.45966680604377
2021-06-11,68.669,41.563636205482766
2021-06-12,50.282,48.381928524616505
2021-06-13,66.786,52.303503236916725
2021-06-14,43.785,55.786854305320695
2021-06-15,49.334,48.97430620649144
2021-06-16,35.317,43.356586631411886
2021-06-17,36.019,42.983942512992996
2021-06-18,33.933,44.9821890611879
2021-06-19,44.584,44.48165970471242
2021-06-20,41.533,40.044702800299675
2021-06-21,29.612,46.45961816020985
2021-06-22,32.949,40.128467620926486
2021-06-23,88.819,35.669111309007945
2021-06-24,59.114,43.34665896373171
2021-06-25,32.045,41.40621629393786
2021-06-26,71.561,46.754442705912226
2021-06-27,43.948,40.412390622661505
2021-06-28,32.615,47.545682749248186
2021-06-29,32.184,43.20519283870022
2021-06-30,25.098,41.552766680679944
2021-07-01,24.729,36.77707453121487
2021-07-02,28.661,33.52160824830411
2021-07-03,26.539,31.095235897643665
2021-07-04,22.621,28.560627183866046
2021-07-05,25.242,30.595510229151913
2021-07-06,32.097,31.08386788367896
2021-07-07,19.087,26.502890321523683
2021-07-08,27.979,29.73432598029853
2021-07-09,24.767,32.431585593358186
2021-07-10,65.07,35.78520514220431
2021-07-11,26.661,37.502268720453195
2021-07-12,24.842,36.235174190835814
2021-07-13,16.862,33.50798787669477
2021-07-14,26.23,30.794269159642216
2021-07-15,66.331,28.890500131641776
2021-07-16,74.907,33.438142038722724
2021-07-17,96.241,39.45602922505561
2021-07-18,25.381,43.8079684163553
2021-07-19,22.876,42.359353773209506
2021-07-20,25.293,30.995377315654252
2021-07-21,18.384,29.15908908492128
2021-07-22,24.559,25.923949900587562
2021-07-23,93.869,24.594224994810094
2021-07-24,30.61,32.40254164605668
2021-07-25,19.171,37.10678305607924
2021-07-26,109.018,32.78142364613576
2021-07-27,39.212,45.31865928394456
2021-07-28,77.364,37.91961997875623
2021-07-29,41.932,33.653121466464754
2021-07-30,24.218,50.507136295375744
2021-07-31,19.56,37.63502600472204
2021-08-01,25.138,32.502322120649914
2021-08-02,23.157,29.052101405177446
2021-08-03,15.876,28.316308321385048
2021-08-04,16.414,28.411680335786826
2021-08-05,19.304,25.256277743386114
2021-08-06,22.519,23.5664569581632
2021-08-07,26.944,23.377932878667252
2021-08-08,23.871,30.589389865512768
2021-08-09,19.821,29.67446532961943
2021-08-10,21.378,39.32666724084065
2021-08-11,56.102,35.6096467623651
2021-08-12,69.954,34.26512031342846
2021-08-13,76.633,39.383232505811606
2021-08-14,45.399,46.95296661748579
2021-08-15,27.89,55.43155047201131
2021-08-16,64.999,48.882005457412255
2021-08-17,29.378,48.06154080257511
2021-08-18,45.487,50.483684972574075
2021-08-19,42.132,49.20741111293427
2021-08-20,31.983,47.837356741608296
2021-08-21,29.074,43.719478439166444
2021-08-22,128.952,44.33843304898006
2021-08-23,81.666,42.974260230386015
2021-08-24,65.973,51.2340287302957
2021-08-25,61.091,50.41476297599907
2021-08-26,32.251,58.18907600342032
2021-08-27,37.529,48.86451625800052
2021-08-28,28.728,47.66508245171077
2021-08-29,101.361,38.088886929854944
2021-08-30,60.394,46.19600010309709
2021-08-31,37.5,49.30171149260196
2021-09-01,32.81,51.17763435352484
2021-09-02,26.73,48.43366457141664
2021-09-03,32.578,41.315863326444635
2021-09-04,85.93,38.609677170992995
2021-09-05,47.025,43.445625536803334
2021-09-06,86.541,47.39102641768935
2021-09-07,47.91,46.25821372060668
2021-09-08,27.908,47.30729806466808
2021-09-09,39.238,45.81427951460322
2021-09-10,32.306,40.5519717058211
2021-09-11,40.525,48.46190301774156
2021-09-12,22.884,47.204974083169404
2021-09-13,57.622,44.936864670609594
2021-09-14,60.66,37.40866037504037
2021-09-15,28.429,43.62931631168217
2021-09-16,27.677,46.588209198855104
2021-09-17,27.475,42.459341838319915
2021-09-18,41.995,36.878203714194846
2021-09-19,24.542,39.15115884908562
2021-09-20,89.454,40.49348240680165
2021-09-21,47.09,40.15673316846755
2021-09-22,81.999,40.422026020125664
2021-09-23,48.51,51.340154104918895
2021-09-24,29.905,52.41459447191521
2021-09-25,24.611,50.55301426519046
2021-09-26,25.482,44.983441812187515
2021-09-27,25.811,35.89782107138868
2021-09-28,43.283,41.463798185923935
2021-09-29,51.901,42.76168290937118
2021-09-30,30.324,47.68128467721663
2021-10-01,121.363,46.13996766552417
2021-10-02,76.505,50.571625881246
2021-10-03,37.593,45.982326030247535
2021-10-04,44.795,51.478594415003364
2021-10-05,26.553,55.727111758702314
2021-10-06,33.383,57.384429297027
2021-10-07,34.15,48.18666856813045
2021-10-08,43.561,46.1255853929404
2021-10-09,58.158,42.413910888968005
2021-10-10,36.281,44.55020475973629
2021-10-11,28.328,48.116116912592446
2021-10-12,50.893,42.35686185373806
2021-10-13,33.041,46.44760963569056
2021-10-14,20.414,44.38639227955041
2021-10-15,76.254,48.94970440181198
2021-10-16,39.275,37.60755083699842
2021-10-17,26.048,48.05103828875834
2021-10-18,91.739,43.11246495097562
2021-10-19,59.418,45.58223722284169
2021-10-20,42.894,44.128722041242405
2021-10-21,55.051,43.24081284997496
2021-10-22,31.1,54.02806482476689
2021-10-23,29.82,52.62921057365403
2021-10-24,52.04,50.35167491655259
2021-10-25,52.422,39.16461997320023
2021-10-26,64.357,45.74926613878013
2021-10-27,22.051,52.56532268196099
2021-10-28,35.162,55.01252047514224
2021-10-29,54.729,47.08282563149467
2021-10-30,76.526,52.8128082642394
2021-10-31,44.573,45.87003500826092
2021-11-01,31.513,48.69275075546757
2021-11-02,40.146,49.015561424295186
2021-11-03,96.833,48.810474080365594
2021-11-04,30.521,49.32663780762443
2021-11-05,34.249,48.26566361965362
2021-11-06,83.344,43.015017956369945
2021-11-07,54.669,46.60600147346907
2021-11-08,44.253,48.68092609813097
2021-11-09,46.471,55.80269325365394
2021-11-10,40.545,58.80389048467956
2021-11-11,37.574,52.31930550655485
2021-11-12,37.63,45.42176997543365
2021-11-13,32.828,49.00117839913556
2021-11-14,37.019,45.15532412005686
2021-11-15,22.711,48.28156923769321
2021-11-16,23.478,46.31553421535006
2021-11-17,21.679,36.03423604750263
2021-11-18,24.624,30.238677308204977
2021-11-19,28.557,28.04015928380538
2021-11-20,28.461,27.518302456008012
2021-11-21,37.853,35.78855068748188
2021-11-22,41.933,41.22191181918925
2021-11-23,58.018,48.82340920843313
2021-11-24,48.596,52.02488139431592
2021-11-25,41.813,57.437868139399626
2021-11-26,80.602,55.325264804880696
2021-11-27,27.104,54.88685351747916
2021-11-28,24.615,49.92354498711389
2021-11-29,37.959,39.36574093949143
2021-11-30,65.195,41.09112594578928
2021-12-01,33.568,45.08055860385261
2021-12-02,50.724,42.894956838105955
2021-12-03,67.434,41.84733691176405
2021-12-04,35.659,46.11786782629894
2021-12-05,48.695,45.064284320481434
2021-12-12,17.668,32.39081049428396
2021-12-13,16.233,31.13046369845421
2021-12-14,16.99,24.99196567982079
2021-12-15,16.962,25.291982768513645
2021-12-16,17.365,23.411251850834603
2021-12-17,15.17,27.05747150660859
2021-12-18,15.005,25.709784218154308
2021-12-19,20.983,24.159093271294427
2021-12-20,20.401,23.70635594569993
2021-12-21,21.478,26.05232436262123
2021-12-22,24.126,25.14662723752453
2021-12-23,26.135,26.584196034518246
2021-12-24,22.215,26.612192899314987
2021-12-25,27.302,27.23316502182094
2021-12-27,29.195,28.60484721443535
2021-12-31,48.85,32.034072176457386
2022-01-01,31.106,32.342360716764524
2022-01-02,24.54,33.80276220691525
2022-01-03,21.593,33.97256127268602
2022-01-04,20.701,31.08785278699315
2022-01-05,15.575,28.8529634937624
2022-01-06,18.611,28.135626120439685
2022-01-07,18.799,29.601612349589573
2022-01-08,28.717,32.901866778430744
2022-01-09,23.564,26.987598250747286
2022-01-10,14.614,27.177771091940155
2022-01-11,16.765,28.638947161057857
2022-01-12,24.419,26.936832519272617
2022-01-13,30.447,24.096194793689254
2022-01-14,29.287,26.451628603525766
2022-01-15,18.959,30.32409168795977
2022-01-16,29.646,32.19094750280478
2022-01-17,12.309,33.248837766162794
2022-01-18,14.6,31.587559044396148
2022-01-19,26.994,24.316191679024858
2022-01-20,20.409,24.9994083330204
2022-01-21,18.758,24.221786589877986
2022-01-22,21.368,28.08773293626786
2022-01-23,17.982,32.03458485316646
2022-01-24,17.791,28.74248847658576
2022-01-26,20.346,27.110595405077408
2022-01-30,9.585,20.776519601343853
2022-01-31,12.936,19.179352901553443
2022-02-01,15.591,18.888092939122362
2022-02-02,15.925,18.560069012058
2022-02-03,17.799,18.733904588155188
2022-02-04,19.166,21.42783600848459
2022-02-05,25.387,24.090276276997034
2022-02-06,30.468,22.61316599975485
2022-02-07,25.109,25.04546806500601
2022-02-08,34.217,34.93898401782067
2022-02-09,23.096,38.29469271666636
2022-02-10,17.747,40.29420719927025
2022-02-11,16.464,27.652792131375612
2022-02-12,22.012,23.45470036084859
2022-02-13,26.36,21.312190185515643
2022-02-14,19.74,31.7251317505489
2022-02-15,18.396,35.75821168165234
2022-02-16,16.629,30.549491411919576
2022-02-17,40.101,23.04546175943417
2022-02-18,28.912,19.94505749163491
2022-02-20,52.645,32.36632576495316
2022-02-24,17.225,36.86964369536181
2022-02-25,21.781,33.27638958448828
2022-02-26,41.532,30.33994525574461
2022-02-27,33.943,25.44371930098482
2022-02-28,39.504,33.45078980602085
2022-03-01,26.166,38.615846903294184
2022-03-02,18.656,45.69913379534898
2022-03-03,29.949,44.32971258028976
2022-03-04,30.676,39.62163316812282
2022-03-05,72.459,39.359096497849976
2022-03-06,24.08,42.177124572425704
2022-03-07,21.13,51.54888491738282
2022-03-08,16.419,36.33758650594417
2022-03-09,15.13,29.15158141072967
2022-03-10,23.28,25.005723836048276
2022-03-11,104.398,24.455521046603423
2022-03-12,23.744,27.839055810309148
2022-03-13,85.759,38.97232178413591
2022-03-14,45.635,34.992821279057395
2022-03-15,57.959,41.30711467882974
2022-03-16,43.946,40.77032858891362
2022-03-17,28.799,53.63430245311173
2022-03-18,22.369,39.99672797196001
2022-03-19,60.513,42.45960429525604
2022-03-20,25.974,43.69541677381675
2022-03-21,40.849,43.56480138431158
2022-03-22,75.664,46.349102790393964
2022-03-23,44.537,40.91234141460447
2022-03-24,43.917,35.69887506715896
2022-03-25,42.56,41.25423259862101
2022-03-26,30.329,44.060654696510575
2022-03-27,36.306,44.420294864470634
2022-03-28,57.306,41.90596232400432
2022-03-29,75.216,44.53550773659432
2022-03-30,25.588,50.206289089818696
2022-03-31,47.059,65.69830279264764
2022-04-01,69.076,43.90800167358466
2022-04-02,30.307,43.39180406245858
2022-04-03,38.316,44.0500156677976
2022-04-04,22.088,45.29169113818165
2022-04-05,28.928,44.8465535720251
2022-04-06,84.523,41.350328094274694
2022-04-07,31.5,47.52507601359232
2022-04-08,35.563,45.85472663480609
2022-04-09,47.38,42.93446914957968
2022-04-10,63.51,45.941744634099926
2022-04-11,82.705,44.48167327527463
2022-04-12,58.139,45.51519445248602
2022-04-13,31.719,48.573850044817455
2022-04-14,51.969,40.79047594739972
2022-04-15,55.329,41.06248030209367
2022-04-16,31.81,42.94301828713007
2022-04-17,33.293,51.33861680459498
2022-04-18,35.741,51.46858467817159
2022-04-19,57.855,42.5022717216535
2022-04-20,97.351,40.135533892843746
2022-04-21,103.12,46.601351255605714
2022-04-22,72.499,59.856714006839674
2022-04-23,46.635,54.822772407089786
2022-04-24,45.8,48.419632388039645
2022-04-25,43.714,53.38519280279323
2022-04-26,41.201,48.39543268845072
2022-04-27,33.57,46.69231545491155
2022-04-28,30.691,46.82986237303126
2022-04-29,23.193,51.35377802807267
2022-04-30,27.497,42.174584421909145
2022-05-01,27.961,39.91174395049985
2022-05-02,20.15,34.03700880362378
2022-05-03,20.9,28.963911513652494
2022-05-04,38.429,30.515994110031084
2022-05-05,36.931,37.62062006026076
2022-05-06,36.914,44.016652450219716
2022-05-07,19.276,44.1382496383842
2022-05-08,22.004,45.005919611433406
2022-05-09,57.267,38.4349406661088
2022-05-10,54.45,38.12124428662177
2022-05-11,38.658,50.05402417351643
2022-05-12,24.481,52.52731225514694
2022-05-13,34.735,54.307299985065455
2022-05-14,38.646,45.890142959685726
2022-05-15,69.959,42.60558920000782
2022-05-16,25.617,47.920062823334035
2022-05-17,30.133,46.14677561452049
2022-05-18,27.22,45.41770273581012
2022-05-19,25.539,38.374772260848545
2022-05-20,27.36,41.41888358745711
2022-05-21,18.312,34.627729696239676
2022-05-22,37.602,30.64924587995233
2022-05-23,26.221,31.980058876157862
2022-05-24,29.749,35.86600475678784
2022-05-25,10.026,37.97183429020385
2022-05-26,19.421,41.68527144691764
2022-05-27,22.545,35.61685890323409
2022-05-28,25.499,33.79170606089926
2022-05-29,58.787,32.255508116535225
2022-05-30,28.561,36.002753166296415
2022-05-31,58.083,44.13181683641066
2022-06-01,103.652,37.245695695285235
2022-06-02,43.428,49.18701426335719
2022-06-03,39.737,50.57068038846941
2022-06-04,22.974,41.8835619322425
2022-06-05,68.069,41.444685258153406
2022-06-06,66.211,32.92330727207071
2022-06-07,31.585,44.33770306364373
2022-06-08,37.822,41.72017556134139
2022-06-09,34.739,45.463715669513256
2022-06-10,100.684,41.76191511832162
2022-06-11,35.362,45.36892174384113
