modelo,nse,kge,kge_r,kge_alpha_variabilidad,kge_beta_sesgo,rmse_m3s,mae_m3s,pbias_pct
persistencia,0.8143,0.9071,0.9071,1.0,1.0007,12.8295,6.3321,0.07
climatologia_expandida,-0.2779,-0.2167,0.4575,0.0496,1.5317,33.6537,29.8588,53.17
