fecha,solar_mwh_piloto,solar_mwh_intermedio,solar_mwh_agresivo
2000-01-01,21.26592,646.483968,1581.7591295999998
2000-01-02,17.01726,517.324704,1265.7437988000001
2000-01-03,18.79761,571.4473439999999,1398.1662317999999
2000-01-04,18.06753,549.252912,1343.8628813999999
2000-01-05,19.902090000000005,605.0235360000001,1480.3174542000002
2000-01-06,12.36846,376.001184,919.9660547999999
2000-01-07,16.204109999999996,492.60494399999993,1205.2617017999999
2000-01-08,15.68931,476.95502400000004,1166.9708778
2000-01-09,16.329300000000003,496.4107200000001,1214.573334
2000-01-10,19.700850000000003,598.90584,1465.349223
2000-01-11,17.002440000000004,516.874176,1264.6414872
2000-01-12,22.096230000000002,671.725392,1643.5175874
2000-01-13,20.339280000000002,618.314112,1512.8356464
2000-01-14,21.636419999999998,657.747168,1609.3169196
2000-01-15,17.832749999999997,542.1156,1326.399945
2000-01-16,16.15536,491.122944,1201.6356768
2000-01-17,16.29186,495.272544,1211.7885467999997
2000-01-18,17.886960000000002,543.763584,1330.4320848
2000-01-19,16.86009,512.546736,1254.0534942000002
2000-01-20,17.844060000000002,542.459424,1327.2411828
2000-01-21,18.429840000000002,560.267136,1370.8114991999998
2000-01-22,23.32434,709.059936,1734.8644092000002
2000-01-23,20.66688,628.273152,1537.2025343999999
2000-01-24,13.66755,415.49352,1016.5923690000001
2000-01-25,16.64676,506.061504,1238.1860087999999
2000-01-26,10.98591,333.971664,817.1319858
2000-01-27,21.58611,656.2177440000002,1605.5748618
2000-01-28,20.293260000000004,616.915104,1509.4126788
2000-01-29,12.40122,376.997088,922.4027436
2000-01-30,15.692820000000001,477.06172799999996,1167.2319515999998
2000-01-31,17.063280000000002,518.7237120000001,1269.1667664000001
2000-02-01,12.97842,394.543968,965.3348796
2000-02-02,16.131960000000003,490.411584,1199.8951848
2000-02-03,18.707910000000002,568.720464,1391.4943458
2000-02-04,14.611740000000001,444.19689600000004,1086.8212211999999
2000-02-05,15.908100000000001,483.60623999999996,1183.2444779999998
2000-02-06,21.08418,640.959072,1568.2413084
2000-02-07,23.98422,729.120288,1783.9462836
2000-02-08,20.33265,618.11256,1512.3425069999998
2000-02-09,22.891830000000002,695.911632,1702.6943154
2000-02-10,21.320130000000002,648.1319520000001,1585.7912694000001
2000-02-11,18.714540000000003,568.9220160000001,1391.9874852
2000-02-12,20.245680000000004,615.4686720000001,1505.8736784
2000-02-13,22.189830000000004,674.5708320000001,1650.4795554
2000-02-14,22.997519999999998,699.124608,1710.5555375999998
2000-02-15,21.31935,648.10824,1585.7332529999999
2000-02-16,12.78966,388.805664,951.2949107999999
2000-02-17,12.505740000000001,380.174496,930.1769412
2000-02-18,20.67897,628.640688,1538.1017885999997
2000-02-19,19.656,597.5424,1462.0132800000001
2000-02-20,11.569740000000001,351.720096,860.5572612000001
2000-02-21,15.53487,472.260048,1155.4836306
2000-02-22,16.684199999999997,507.19968,1240.9707959999998
2000-02-23,12.52758,380.838432,931.8014004
2000-02-24,11.981580000000001,364.24003200000004,891.1899204
2000-02-25,14.140230000000003,429.862992,1051.7503073999999
2000-02-26,15.705300000000001,477.44112000000007,1168.160214
2000-02-27,11.96676,363.789504,890.0876088
2000-02-28,15.29892,465.0871680000001,1137.9336696
2000-02-29,15.942810000000003,484.66142400000007,1185.8262078
2000-03-01,13.34346,405.64118400000007,992.4865548
2000-03-02,16.104660000000003,489.58166400000005,1197.8646108
2000-03-03,15.548910000000001,472.68686399999996,1156.5279257999998
2000-03-04,15.99156,486.1434239999999,1189.4522327999998
2000-03-05,21.50265,653.6805599999999,1599.3671069999998
2000-03-06,19.08972,580.327488,1419.8933736
2000-03-07,16.87686,513.056544,1255.3008468
2000-03-08,13.179659999999998,400.66166400000003,980.3031107999999
2000-03-09,16.76922,509.78428800000006,1247.2945836000001
2000-03-10,23.605920000000005,717.6199680000001,1755.8083296000002
2000-03-11,18.711419999999997,568.827168,1391.7554195999999
2000-03-12,12.605970000000001,383.221488,937.6320486
2000-03-13,18.42438,560.101152,1370.4053844
2000-03-14,18.558149999999998,564.1677599999999,1380.3551969999999
2000-03-15,19.7457,600.26928,1468.6851659999998
2000-03-16,16.72437,508.42084800000003,1243.9586405999999
2000-03-17,17.06133,518.664432,1269.0217254
2000-03-18,22.58022,686.438688,1679.5167635999999
2000-03-19,22.22259,675.5667360000001,1652.9162442
2000-03-20,21.97923,668.168592,1634.8151273999997
2000-03-21,19.75974,600.696096,1469.7294612
2000-03-22,17.591340000000002,534.776736,1308.4438692
2000-03-23,16.8675,512.772,1254.60465
2000-03-24,16.24506,493.849824,1208.3075628
2000-03-25,15.85194,481.89897600000006,1179.0672972
2000-03-26,15.43386,469.18934399999995,1147.9705068
2000-03-27,16.29303,495.308112,1211.8755714
2000-03-28,26.41665,803.0661600000001,1964.8704269999998
2000-03-29,20.151300000000003,612.59952,1498.853694
2000-03-30,16.19826,492.42710400000004,1204.8265788
2000-03-31,20.889570000000003,635.0429280000001,1553.7662166
2000-04-01,18.097559999999998,550.1658239999999,1346.0965127999998
2000-04-02,20.38881,619.819824,1516.5196878
2000-04-03,13.81068,419.844672,1027.2383784
2000-04-04,14.81883,450.492432,1102.2245754
2000-04-05,17.149470000000004,521.3438880000001,1275.5775786000002
2000-04-06,17.968470000000003,546.241488,1336.4947986
2000-04-07,17.67441,537.302064,1314.6226158000002
2000-04-08,23.20422,705.408288,1725.9298835999998
2000-04-09,23.831339999999997,724.472736,1772.5750692
2000-04-10,20.587320000000002,625.8545280000001,1531.2848616
2000-04-11,11.77956,358.09862400000003,876.1636728
2000-04-12,12.591149999999999,382.77096,936.529737
2000-04-13,16.74426,509.02550400000007,1245.4380588
2000-04-14,12.965549999999999,394.15272000000004,964.3776089999999
2000-04-15,19.30968,587.014272,1436.2539984
2000-04-16,16.39404,498.378816,1219.3886952
2000-04-17,12.705420000000002,386.244768,945.0291396
2000-04-18,18.6069,565.64976,1383.981222
2000-04-19,16.618679999999998,505.20787199999995,1236.0974184
2000-04-20,21.04869,639.880176,1565.6015622
2000-04-21,13.041210000000001,396.452784,970.0051997999999
2000-04-22,16.899479999999997,513.744192,1256.9833224
2000-04-23,13.926900000000002,423.37776,1035.882822
2000-04-24,15.527460000000001,472.03478399999995,1154.9324748
2000-04-25,21.33222,648.499488,1586.6905236
2000-04-26,17.428320000000003,529.820928,1296.3184416
2000-04-27,19.799129999999998,601.893552,1472.6592894
2000-04-28,23.25102,706.8310080000001,1729.4108676
2000-04-29,19.157970000000002,582.4022880000001,1424.9698086
2000-04-30,14.976780000000002,455.294112,1113.9728963999999
2000-05-01,16.68693,507.282672,1241.1738533999999
2000-05-02,18.32766,557.1608640000001,1363.2113507999998
2000-05-03,22.52757,684.8381280000001,1675.6006566
2000-05-04,14.920620000000001,453.58684800000003,1109.7957156
2000-05-05,16.41354,498.971616,1220.8391051999997
2000-05-06,18.046860000000002,548.624544,1342.3254467999998
2000-05-07,19.52496,593.5587840000001,1452.2665248
2000-05-08,18.65916,567.238464,1387.8683207999998
2000-05-09,19.50702,593.013408,1450.9321476
2000-05-10,19.4493,591.25872,1446.638934
2000-05-11,21.95115,667.3149599999999,1632.726537
2000-05-12,18.91188,574.921152,1406.6656343999998
2000-05-13,16.103099999999998,489.53423999999995,1197.748578
2000-05-14,19.597109999999997,595.7521439999999,1457.6330417999998
2000-05-15,18.22782,554.125728,1355.7852515999998
2000-05-16,21.50187,653.6568480000001,1599.3090905999998
2000-05-17,22.613760000000003,687.458304,1682.0114687999999
2000-05-18,19.55694,594.530976,1454.6451972
2000-05-19,14.758770000000002,448.66660800000005,1097.7573126
2000-05-20,17.96106,546.0162240000001,1335.9436428000001
2000-05-21,18.89238,574.328352,1405.2152244
2000-05-22,18.03126,548.150304,1341.1651188
2000-05-23,23.4663,713.37552,1745.423394
2000-05-24,22.24677,676.3018079999999,1654.7147525999999
2000-05-25,21.387600000000003,650.18304,1590.809688
2000-05-26,25.574250000000003,777.4572000000001,1902.2127150000001
2000-05-27,22.54083,685.2412320000001,1676.5869354
2000-05-28,18.49146,562.1403839999999,1375.3947947999998
2000-05-29,16.397940000000002,498.49737600000003,1219.6787772
2000-05-30,18.43647,560.4686879999999,1371.3046385999999
2000-05-31,16.50831,501.85262400000005,1227.8880978
2000-06-01,19.66341,597.767664,1462.5644358
2000-06-02,20.549879999999998,624.7163519999999,1528.5000744
2000-06-03,23.94093,727.8042720000001,1780.7263733999998
2000-06-04,16.75908,509.47603200000003,1246.5403704
2000-06-05,24.50838,745.054752,1822.9333044000002
2000-06-06,17.812079999999998,541.487232,1324.8625103999998
2000-06-07,19.68486,598.419744,1464.1598867999999
2000-06-08,13.324739999999998,405.07209599999993,991.0941611999999
2000-06-09,16.39599,498.4380960000001,1219.5337362
2000-06-10,17.27466,525.149664,1284.8892108
2000-06-11,26.115180000000002,793.901472,1942.4470884000002
2000-06-12,13.848120000000002,420.9828480000001,1030.0231656
2000-06-13,19.821749999999998,602.5812,1474.341765
2000-06-14,23.027549999999998,700.03752,1712.7891689999997
2000-06-15,18.23991,554.493264,1356.6845058
2000-06-16,18.95595,576.26088,1409.943561
2000-06-17,19.288230000000002,586.362192,1434.6585474
2000-06-18,15.58362,473.74204799999995,1159.1096556
2000-06-19,18.901739999999997,574.612896,1405.9114212
2000-06-20,21.7113,660.02352,1614.8864939999999
2000-06-21,20.13609,612.137136,1497.7223742
2000-06-22,18.950100000000003,576.08304,1409.5084379999998
2000-06-23,16.808609999999998,510.981744,1250.2244117999999
2000-06-24,14.31807,435.26932800000003,1064.9780466
2000-06-25,22.094279999999998,671.666112,1643.3725464
2000-06-26,21.719880000000003,660.284352,1615.5246744
2000-06-27,23.9811,729.02544,1783.7142179999998
2000-06-28,23.40663,711.561552,1740.9851394
2000-06-29,23.868000000000002,725.5872,1775.3018399999999
