,nse,kge,kge_r,kge_alpha_variabilidad,kge_beta_sesgo,rmse_m3s,mae_m3s,pbias_pct
train,0.6223,0.5784,0.8108,0.6232,0.999,15.461,10.6362,-0.1
test,0.0818,0.334,0.4319,0.6789,1.1332,17.8066,13.4436,13.32
