fecha,allsky_sfc_sw_dwn,clrsky_sfc_sw_dwn,t2m
2000-05-31,4.2329,7.2984,19.95
2000-06-01,5.0419,6.8369,19.64
2000-06-02,5.2692,7.2533,20.5
2000-06-03,6.1387,7.1846,20.97
2000-06-04,4.2972,7.2432,19.83
2000-06-05,6.2842,7.1302,20.59
2000-06-06,4.5672,6.9583,20.19
2000-06-07,5.0474,7.1028,19.56
2000-06-08,3.4166,7.1556,19.6
2000-06-09,4.2041,6.8119,19.65
2000-06-10,4.4294,6.899,20.11
2000-06-11,6.6962,7.2562,20.78
2000-06-12,3.5508,7.1566,20.68
2000-06-13,5.0825,6.8611,20.77
2000-06-14,5.9045,7.1746,20.09
2000-06-15,4.6769,7.2127,19.47
2000-06-16,4.8605,6.8772,20.59
2000-06-17,4.9457,7.2067,18.75
2000-06-18,3.9958,7.2034,20.13
2000-06-19,4.8466,7.1647,20.02
2000-06-20,5.567,6.9516,20.25
2000-06-21,5.1631,7.0723,20.49
2000-06-22,4.859,6.6689,20.12
2000-06-23,4.3099,6.966,19.58
2000-06-24,3.6713,7.243,19.47
2000-06-25,5.6652,7.1105,19.54
2000-06-26,5.5692,7.0639,20.77
2000-06-27,6.149,7.0946,20.97
2000-06-28,6.0017,7.0582,21.1
2000-06-29,6.12,7.0224,20.0
2000-06-30,5.4739,7.0054,20.53
2000-07-01,6.5858,7.1986,20.91
2000-07-02,5.7787,6.948,20.44
2000-07-03,5.6818,7.1208,20.69
2000-07-04,6.0528,7.1206,19.66
2000-07-05,4.519,7.236,19.65
2000-07-06,4.0704,6.7769,19.14
2000-07-07,5.3299,7.068,19.91
2000-07-08,5.5284,7.0378,20.4
2000-07-09,5.9218,7.1119,20.47
2000-07-10,4.4782,7.0049,20.34
2000-07-11,6.3564,7.1974,20.62
2000-07-12,6.1025,7.0502,20.69
2000-07-13,5.3815,7.152,20.15
2000-07-14,4.0874,7.2192,19.79
2000-07-15,5.1799,6.9331,19.68
2000-07-16,5.6983,7.2622,20.11
2000-07-17,5.2788,6.9998,20.07
2000-07-18,5.6407,7.1354,19.35
2000-07-19,4.83,7.1138,19.44
2000-07-20,5.1494,7.0013,18.98
2000-07-21,4.6798,7.0598,19.63
2000-07-22,5.2337,7.3656,18.86
2000-07-23,6.6223,7.2974,20.76
2000-07-24,6.1171,7.1674,20.82
2000-07-25,6.336,7.3404,19.89
2000-07-26,5.485,7.1326,19.82
2000-07-27,5.4679,7.2749,19.59
2000-07-28,4.7455,7.2202,19.13
2000-07-29,3.991,6.8335,19.04
2000-07-30,4.4664,7.129,18.86
2000-07-31,6.019,7.0476,19.39
2000-08-01,5.0599,6.9125,19.75
2000-08-02,5.6369,7.0956,19.51
2000-08-03,5.3544,7.0337,20.02
2000-08-04,5.2529,7.2058,19.98
2000-08-05,3.1838,7.2955,19.65
2000-08-06,3.2287,7.0162,19.53
2000-08-07,5.705,7.3018,20.18
2000-08-08,5.4218,7.2487,19.83
2000-08-09,5.1197,6.9091,20.05
2000-08-10,5.8375,7.3044,20.09
2000-08-11,6.5095,7.4635,20.33
2000-08-12,6.8234,7.4326,20.0
2000-08-13,4.7765,7.4702,19.49
2000-08-14,6.1942,7.2926,19.9
2000-08-15,6.3307,7.3219,20.75
2000-08-16,6.4426,7.3606,20.76
2000-08-17,6.8309,7.3567,20.68
2000-08-18,5.4953,7.4642,20.45
2000-08-19,6.2736,7.2725,20.53
2000-08-20,6.5184,7.3591,20.43
2000-08-21,7.0891,7.5269,21.68
2000-08-22,6.1951,7.3243,21.96
2000-08-23,5.6422,7.3901,21.48
2000-08-24,5.3806,7.3944,20.69
2000-08-25,5.7065,7.2634,20.38
2000-08-26,6.0655,7.6411,20.13
2000-08-27,6.2405,7.2804,21.39
2000-08-28,5.2344,7.4844,21.13
2000-08-29,5.3748,6.9288,19.88
2000-08-30,5.7358,7.3968,20.73
2000-08-31,4.4234,7.3906,21.06
2000-09-01,2.9138,7.5982,20.14
2000-09-02,4.8754,7.229,20.04
2000-09-03,4.9193,7.0452,19.93
2000-09-04,4.4868,7.476,18.86
2000-09-05,3.3742,7.5598,18.77
2000-09-06,4.5818,7.0555,19.79
2000-09-07,3.5527,7.4753,19.91
2000-09-08,5.688,7.4006,20.05
2000-09-09,5.2188,7.3471,19.76
2000-09-10,4.1153,7.5845,19.53
2000-09-11,5.1348,6.9415,19.69
2000-09-12,6.7826,7.5504,20.08
2000-09-13,6.4373,7.3994,20.21
2000-09-14,4.7016,7.3723,20.39
2000-09-15,4.4246,7.5185,18.99
2000-09-16,4.325,7.3519,19.59
2000-09-17,3.6578,7.5384,20.08
2000-09-18,6.0958,7.3663,19.92
2000-09-19,5.6705,7.3411,19.93
2000-09-20,3.337,7.5499,18.21
2000-09-21,5.0362,7.321,19.73
2000-09-22,5.2918,7.3147,19.13
2000-09-23,4.0361,7.2941,19.16
2000-09-24,4.0879,7.3202,18.84
2000-09-25,5.6779,7.4446,20.11
2000-09-26,6.0418,7.3255,20.21
2000-09-27,3.1654,7.5209,19.03
2000-09-28,4.3949,7.2012,19.42
2000-09-29,3.2734,7.4957,18.82
2000-09-30,4.2103,7.3596,18.83
2000-10-01,6.0521,7.3663,19.38
2000-10-02,5.4984,7.2898,18.97
2000-10-03,5.3983,7.3555,18.98
2000-10-04,5.004,7.3404,19.71
2000-10-05,5.8788,7.3061,20.32
2000-10-06,5.9455,7.4592,20.5
2000-10-07,5.3378,7.0618,20.18
2000-10-08,3.707,7.3015,20.06
2000-10-09,4.7866,7.1422,19.96
2000-10-10,6.6994,7.4414,20.37
2000-10-11,5.4761,7.2768,20.8
2000-10-12,5.1206,7.2326,20.35
2000-10-13,4.4866,6.894,20.05
2000-10-14,5.4763,7.2547,20.25
2000-10-15,3.691,7.4066,20.36
2000-10-16,5.4521,7.2211,20.62
2000-10-17,4.7347,6.9521,20.6
2000-10-18,2.9386,7.3471,20.66
2000-10-19,5.2922,7.3087,21.06
2000-10-20,5.2882,7.249,19.74
2000-10-21,4.037,7.17,19.38
2000-10-22,5.1091,7.0954,19.89
2000-10-23,4.2528,7.1198,19.2
2000-10-24,2.1461,7.2708,17.77
2000-10-25,3.7606,6.9602,17.04
2000-10-26,4.2187,6.4891,19.4
2000-10-27,3.6096,7.2547,19.03
2000-10-28,4.4393,7.0116,20.1
2000-10-29,3.8998,6.931,19.04
2000-10-30,4.2547,7.0596,19.93
2000-10-31,4.7544,6.912,19.46
2000-11-01,4.1918,6.8611,19.14
2000-11-02,3.0802,7.1491,19.28
2000-11-03,5.286,7.1551,19.95
2000-11-04,4.309,6.6194,19.8
2000-11-05,3.9029,6.9864,20.09
